SKU,name,description,price,meta_description,meta_keywords,tax_category_id,shipping_category_id,count_on_hand,product_properties,taxons,blendable_taxon_ids,images
"TBVNN-0001","Almond Loose Leaf Tea","<h3>Description</h3> <p>Uniq tea Almond black tea starts with a full-leaf black tea blended with decadent almond pieces and raw almond extract that creates a plush mouthfeel reminiscent of creamy marzipan with a clean balanced astringency and a nutty finish.  UniqTeas Almond Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>safflowers, peppermint, licorice, tulsi, sambuca flavor</p>","11.25","Select Almond Loose Leaf Tea and other Almond black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Almond Loose Leaf Tea,Almond","698318840","727197546","20000","Sweetness:3|Fruity:0|Nutty:5|Vegetal:0|Woody:0|Aroma:4|Spicy:0|Floral: 0|Strength:3","Categories>Flavored Tea> Flavored Black Tea","",""
"TBINN-0002","Antu Valley Estate Nepali Tea Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Antu Valley Estate Nepali Loose Leaf Tea originates from the leaves of the esteemed Nepal tea Antu Valley Estate. Uniq Teas Antu Valley Estate Nepali Tea is a highly caffeinated tea with a hint of citrus fruit. Known for its exceptionally smooth and sweet finish. Experience the natural flavors and premium taste of Uniq Teas for a quality cup of tea.   UniqTeas Antu Valley Estate Nepali Tea Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Nepali black tea from the Antu Valley Estate</p>","23.25","Select Antu Valley Estate Nepali Tea Loose Leaf Tea and other nepali black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Antu Valley Estate Nepali Tea Loose Leaf Tea,nepali","698318840","727197546","20000","","Categories>India","",""
"TBCNN-0003","Apricot Brandy Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Apricot Brandy Loose Leaf Tea sweetens your cup of tea with its unique blend of tangy black tea and delicious fruit. Making delightful afternoon or dessert tea, Uniq Teas Apricot Brandy Tea takes the natural sweetness of the apricot and is finished with a hint of spiced brandy. Uniq Teas Apricot Brady has a fragrant aroma for a memorable experience.   UniqTeas Apricot Brandy Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea and apricot pieces with apricot brandy flavor </p>","12.75","Select Apricot Brandy Loose Leaf Tea and other apricot black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Apricot Brandy Loose Leaf Tea,apricot","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBINN-0004","Assam Harmutty Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Assam Harmutty Loose Leaf Tea is a full-bodied black tea with a fruity and malty aroma. Originating from the prestigious Harmutty tea estate, Uniq Teas Assam Harmutty Tea provides an earthy blend with a hint of honey. Typically is served along with a splash of milk or sugar.  UniqTeas Assam Harmutty Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Assam tea from Harmutty Tea Estate.</p>","18","Select Assam Harmutty Loose Leaf Tea and other assam black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Assam Harmutty Loose Leaf Tea,assam","698318840","727197546","20000","","Categories>India","",""
"TBINN-0005","Assam Meleng Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Assam Meleng Loose Leaf Tea is a brisk and pungent black tea flavor and a fruity, wine-scented aroma. Uniq Teas Assam Meleng Tea infuses its golden brown tea leaves into a malty cup of tea with a bit of an aftertaste. Delivering a memorable taste to your cup of tea.   UniqTeas Assam Meleng Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Assam tea from Meleng Tea Estate.</p>","18","Select Assam Meleng Loose Leaf Tea and other assam black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Assam Meleng Loose Leaf Tea,assam","698318840","727197546","20000","","Categories>India","",""
"TBIOF-0006","Assam Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Assam Loose Leaf Tea presents a brisk and pungent black tea flavor. Uniq Teas Assam Assam Tea infuses its golden brown tea leaves into a malty cup of tea with a bit of an aftertaste. Delivering a memorable taste to your cup of tea, Uniq Teas Assam is a great full bodied tea.   UniqTeas Assam Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Whole leaf Assam tea.</p>","9.75","Select Assam Loose Leaf Tea and other Assam black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Assam Loose Leaf Tea,Assam","698318840","727197546","20000","Sweetness:2|Fruity:0|Nutty:0|Vegetal:0|Woody:0|Aroma:2|Spicy:0|Floral: 0|Strength:5","Categories>India","",""
"TBCNN-0007","Berried Treasure Loose Leaf Tea","<h3>Description</h3> <p>Uniq tea Black tea loose tea is loaded with black currant, and black currant leaves with black currant, huckleberry, and blackberry flavor.  Very refreshing and delicious.    UniqTeas Berried Treasure Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea, black currant, and black currant leaves with black currant, huckleberry, and blackberry flavor </p>","12","Select Berried Treasure Loose Leaf Tea and other Berry Tea black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Berried Treasure Loose Leaf Tea,Berry Tea","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0008","Black Chai Loose Leaf Tea","<h3>Description</h3> <p>Uniq tea Black Chai Loose Tea brews a full-flavored and spicy cup of quality chai tea.Chai Tea is a blend of dark Indian black teas and spices such as ginger, cinnamon, cloves, cardamom, star anise as natural sweeteners. Uniq Teas Black Chai Tea is a full bodied cupa tea.   UniqTeas Black Chai Loose Leaf Tea is a wonderful black tea, chai tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea , ginger root, cinnamon, green cardamom and cinnamon, ginger and vanilla flavor  </p>","12.75","Select Black Chai Loose Leaf Tea and other Black Chai black tea, chai teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea, Chai Tea,Black Chai Loose Leaf Tea,Black Chai","698318840","727197546","20000","Sweetness:2|Fruity:0|Nutty:0|Vegetal:0|Woody:0|Aroma:4|Spicy:5|Floral: 0|Strength:4","Categories>Flavored Tea> Flavored Black Tea|Categories>Chai Tea","",""
"TBVNN-0009","Black Currant Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Currant loose tea offers an aromatic jammy currants infused flavor in a full-bodied black tea.  You can drink it hot in the winter or iced in the summer, either way it's a delicious tea that's a favorite across the world.  UniqTeas Black Currant Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea with black currant pieces, black currant leaves, and black currant flavor </p>","11.25","Select Black Currant Loose Leaf Tea and other Black Currant black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Black Currant Loose Leaf Tea,Black Currant","698318840","727197546","20000","Sweetness:3|Fruity:4|Nutty:0|Vegetal:0|Woody:0|Aroma:3|Spicy:0|Floral: 0|Strength:null","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0010","Caramelicious Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas is Caramel or Carmel full-leaf black tea with decadent pieces of caramel accompany the dark caramel aroma, and brown sugar notes. Dense and decadent cup, with a sweet, molasses aftertaste. (contains dairy)    UniqTeas Caramelicious Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea with caramel flavor </p>","11.25","Select Caramelicious Loose Leaf Tea and other Caramel black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Caramelicious Loose Leaf Tea,Caramel","698318840","727197546","20000","Sweetness:4|Fruity:0|Nutty:2|Vegetal:0|Woody:0|Aroma:3|Spicy:0|Floral: 0|Strength:4","Categories>Flavored Tea> Flavored Black Tea","",""
